Financial Year,Date,Supplier,Amount,Category,Description,Compliance Notes,Transaction ID
FY2022-23,2022-12-30,Amazon,166.76,Staff Amenities,Staff uniforms ,"Ensure uniforms are clearly branded with the company logo to avoid FBT implications. If not, may be considered a fringe benefit.; Maintain receipt as proof of purchase.",286fbe06-4f1a-4573-aad7-9dbca4780bd2
FY2022-23,2023-05-22,Coles,99.03,Travel,Phill's Melb visit Coles,Requires scrutiny to determine the business purpose of the trip and the extent of private use. May be subject to entertainment limitations. FBT may apply if the expense is considered a fringe benefit.,5e51cb70-50c0-4c9b-9876-c4265c0acd03
FY2022-23,2023-05-22,Beach Cafe Seaford,65.5,Travel,Phill,"Need to determine if this is entertainment. If so, only 50% deductible. If it is a legitimate business travel expense, it may be fully deductible. FBT may apply if provided to an employee.",13b6bd54-9f18-4531-96ea-b01db6fd716f
FY2022-23,2023-05-24,Port City Bowling Club,10,Entertainment,Drinks,Entertainment expenses require scrutiny to determine deductibility. May be subject to FBT if provided to employees.,41e729f6-ce0e-4478-b210-d23ade7483ed
FY2022-23,2023-05-08,Heisenberg Haus,315.12,Travel,Meeting,Need to determine if the meeting was for business purposes and if entertainment was provided. Entertainment expenses are subject to specific deductibility rules and may have FBT implications.,573a9939-9478-4c90-b1e8-bd9836788ed4
FY2022-23,2023-05-05,Get Grilled,13,Food,Food,Need to determine if this is considered entertainment and if it is subject to the 50% entertainment limitation. FBT implications need to be considered if provided to employees.,1ca423c6-fa40-4a06-a4c2-06f15490b708
FY2022-23,2023-03-24,,5000,Financial Services,Bank Transfer to Westpac Everyday Credit Cards.,Requires detailed breakdown of credit card expenses to determine deductibility and potential FBT implications.; Need to determine if any expenses are of a private nature.,cbe714e8-df4d-4993-8e38-02b3c16c56f5
FY2022-23,2023-05-05,Cedar & Stone Wood-Fired Pizza Bar,11,Food,Food,"Need to determine if this is entertainment. If so, deductibility is limited. FBT may apply if provided to employees.",68958c35-6d0f-478f-a621-c843abf657fa
FY2025-26,2025-08-04,Coles,44.55,Food & Beverage,Phill & Kori at job in Maryborough,"Requires receipt from Coles.; Potential FBT implications if the food and beverages were provided to employees. Need to determine if an exception applies (e.g., minor and infrequent).; Need to determin",f8e95fb8-338e-44fa-b990-f913a7c420d1
FY2024-25,2024-12-12,Aldi,17.97,General Expenses,Christmas shop,Requires receipt for substantiation.; Potential FBT implications if items are provided to employees as a benefit. Need to determine if the minor and infrequent exemption applies.; Determine if the exp,97af0ccc-9b14-43e3-871e-9e5a6257eca6
